Date,Attributes,Symbols,value
2021-06-07,Adj Close,6758.T,10824.806640625
2021-06-08,Adj Close,6758.T,10969.4697265625
2021-06-09,Adj Close,6758.T,10730.02734375
2021-06-10,Adj Close,6758.T,10769.9345703125
2021-06-11,Adj Close,6758.T,10834.783203125
2021-06-14,Adj Close,6758.T,10794.8759765625
2021-06-15,Adj Close,6758.T,10989.423828125
2021-06-16,Adj Close,6758.T,10675.1552734375
2021-06-17,Adj Close,6758.T,10425.7353515625
2021-06-18,Adj Close,6758.T,10475.619140625
2021-06-21,Adj Close,6758.T,10515.5263671875
2021-06-22,Adj Close,6758.T,10844.7607421875
2021-06-23,Adj Close,6758.T,10625.271484375
2021-06-24,Adj Close,6758.T,10660.189453125
2021-06-25,Adj Close,6758.T,10824.806640625
2021-06-28,Adj Close,6758.T,10844.7607421875
2021-06-29,Adj Close,6758.T,10974.4580078125
2021-06-30,Adj Close,6758.T,10789.8876953125
2021-07-01,Adj Close,6758.T,10914.59765625
2021-07-02,Adj Close,6758.T,11313.6689453125
2021-07-05,Adj Close,6758.T,11213.9013671875
2021-07-06,Adj Close,6758.T,11213.9013671875
2021-07-07,Adj Close,6758.T,11099.16796875
2021-07-08,Adj Close,6758.T,10949.5166015625
2021-07-09,Adj Close,6758.T,11029.3310546875
2021-07-12,Adj Close,6758.T,11458.33203125
2021-07-13,Adj Close,6758.T,11538.146484375
2021-07-14,Adj Close,6758.T,11578.0537109375
2021-07-15,Adj Close,6758.T,11378.517578125
2021-07-16,Adj Close,6758.T,11129.0986328125
2021-07-19,Adj Close,6758.T,10904.62109375
2021-07-20,Adj Close,6758.T,10660.189453125
2021-07-21,Adj Close,6758.T,10879.6787109375
2021-07-26,Adj Close,6758.T,10949.5166015625
2021-07-27,Adj Close,6758.T,11024.3427734375
2021-07-28,Adj Close,6758.T,11109.14453125
2021-07-29,Adj Close,6758.T,11493.2509765625
2021-07-30,Adj Close,6758.T,11348.587890625
2021-08-02,Adj Close,6758.T,11523.181640625
2021-08-03,Adj Close,6758.T,11418.4248046875
2021-08-04,Adj Close,6758.T,11049.2841796875
2021-08-05,Adj Close,6758.T,11333.6220703125
2021-08-06,Adj Close,6758.T,11373.529296875
2021-08-10,Adj Close,6758.T,11089.19140625
2021-08-11,Adj Close,6758.T,11084.203125
2021-08-12,Adj Close,6758.T,10984.435546875
2021-08-13,Adj Close,6758.T,11139.0751953125
2021-08-16,Adj Close,6758.T,10889.65625
2021-08-17,Adj Close,6758.T,10695.1083984375
2021-08-18,Adj Close,6758.T,10874.6904296875
2021-08-19,Adj Close,6758.T,10580.3759765625
2021-08-20,Adj Close,6758.T,10595.3408203125
2021-08-23,Adj Close,6758.T,10974.4580078125
2021-08-24,Adj Close,6758.T,11358.564453125
2021-08-25,Adj Close,6758.T,11438.37890625
2021-08-26,Adj Close,6758.T,11268.7734375
2021-08-27,Adj Close,6758.T,11203.9248046875
2021-08-30,Adj Close,6758.T,11208.9130859375
2021-08-31,Adj Close,6758.T,11333.6220703125
2021-09-01,Adj Close,6758.T,11413.4365234375
2021-09-02,Adj Close,6758.T,11573.0654296875
2021-09-03,Adj Close,6758.T,11852.4150390625
2021-09-06,Adj Close,6758.T,11922.2529296875
2021-09-07,Adj Close,6758.T,11957.1708984375
2021-09-08,Adj Close,6758.T,11942.2060546875
2021-09-09,Adj Close,6758.T,12022.0205078125
2021-09-10,Adj Close,6758.T,12206.5908203125
2021-09-13,Adj Close,6758.T,12201.6025390625
2021-09-14,Adj Close,6758.T,12321.32421875
2021-09-15,Adj Close,6758.T,12141.7421875
2021-09-16,Adj Close,6758.T,12241.509765625
2021-09-17,Adj Close,6758.T,12286.4052734375
2021-09-21,Adj Close,6758.T,12311.3466796875
2021-09-22,Adj Close,6758.T,12331.30078125
2021-09-24,Adj Close,6758.T,12969.814453125
2021-09-27,Adj Close,6758.T,12934.8955078125
2021-09-28,Adj Close,6758.T,12890.0
2021-09-29,Adj Close,6758.T,12440.0
2021-09-30,Adj Close,6758.T,12455.0
2021-10-01,Adj Close,6758.T,12085.0
2021-10-04,Adj Close,6758.T,11970.0
2021-10-05,Adj Close,6758.T,11785.0
2021-10-06,Adj Close,6758.T,11625.0
2021-10-07,Adj Close,6758.T,11695.0
2021-10-08,Adj Close,6758.T,11860.0
2021-10-11,Adj Close,6758.T,12385.0
2021-10-12,Adj Close,6758.T,12330.0
2021-10-13,Adj Close,6758.T,12360.0
2021-10-14,Adj Close,6758.T,12555.0
2021-10-15,Adj Close,6758.T,12890.0
2021-10-18,Adj Close,6758.T,12680.0
2021-10-19,Adj Close,6758.T,12735.0
2021-10-20,Adj Close,6758.T,12820.0
2021-10-21,Adj Close,6758.T,12665.0
2021-10-22,Adj Close,6758.T,12815.0
2021-10-25,Adj Close,6758.T,13065.0
2021-10-26,Adj Close,6758.T,13410.0
2021-10-27,Adj Close,6758.T,13105.0
2021-10-28,Adj Close,6758.T,12895.0
2021-10-29,Adj Close,6758.T,13140.0
2021-11-01,Adj Close,6758.T,13850.0
2021-11-02,Adj Close,6758.T,13880.0
2021-11-04,Adj Close,6758.T,13995.0
2021-11-05,Adj Close,6758.T,14045.0
2021-11-08,Adj Close,6758.T,13985.0
2021-11-09,Adj Close,6758.T,13850.0
2021-11-10,Adj Close,6758.T,13725.0
2021-11-11,Adj Close,6758.T,13800.0
2021-11-12,Adj Close,6758.T,13960.0
2021-11-15,Adj Close,6758.T,14095.0
2021-11-16,Adj Close,6758.T,14320.0
2021-11-17,Adj Close,6758.T,14225.0
2021-11-18,Adj Close,6758.T,14350.0
2021-11-19,Adj Close,6758.T,14345.0
2021-11-22,Adj Close,6758.T,14280.0
2021-11-24,Adj Close,6758.T,14065.0
2021-11-25,Adj Close,6758.T,14260.0
2021-11-26,Adj Close,6758.T,13985.0
2021-11-29,Adj Close,6758.T,13750.0
2021-11-30,Adj Close,6758.T,13825.0
2021-12-01,Adj Close,6758.T,13895.0
2021-12-02,Adj Close,6758.T,13580.0
2021-12-03,Adj Close,6758.T,13825.0
2021-12-06,Adj Close,6758.T,13680.0
2021-12-07,Adj Close,6758.T,13985.0
2021-12-08,Adj Close,6758.T,14270.0
2021-12-09,Adj Close,6758.T,14070.0
2021-12-10,Adj Close,6758.T,13870.0
2021-12-13,Adj Close,6758.T,13870.0
2021-12-14,Adj Close,6758.T,13750.0
2021-12-15,Adj Close,6758.T,14000.0
2021-12-16,Adj Close,6758.T,14040.0
2021-12-17,Adj Close,6758.T,13850.0
2021-12-20,Adj Close,6758.T,13440.0
2021-12-21,Adj Close,6758.T,13555.0
2021-12-22,Adj Close,6758.T,13930.0
2021-12-23,Adj Close,6758.T,14215.0
2021-12-24,Adj Close,6758.T,14270.0
2021-12-27,Adj Close,6758.T,14365.0
2021-12-28,Adj Close,6758.T,14695.0
2021-12-29,Adj Close,6758.T,14580.0
2021-12-30,Adj Close,6758.T,14475.0
2022-01-04,Adj Close,6758.T,14970.0
2022-01-05,Adj Close,6758.T,15520.0
2022-01-06,Adj Close,6758.T,14455.0
2022-01-07,Adj Close,6758.T,14540.0
2021-01-12,Adj Close,6861.T,58326.47265625
2021-01-13,Adj Close,6861.T,57718.48828125
2021-01-14,Adj Close,6861.T,57509.1875
2021-01-15,Adj Close,6861.T,56851.3671875
2021-01-18,Adj Close,6861.T,57090.57421875
2021-01-19,Adj Close,6861.T,57568.984375
2021-01-20,Adj Close,6861.T,56283.25390625
2021-01-21,Adj Close,6861.T,56691.89453125
2021-01-22,Adj Close,6861.T,57459.34765625
2021-01-25,Adj Close,6861.T,57279.94140625
2021-01-26,Adj Close,6861.T,56103.84765625
2021-01-27,Adj Close,6861.T,58326.47265625
2021-01-28,Adj Close,6861.T,56970.96875
2021-01-29,Adj Close,6861.T,55954.33984375
2021-02-01,Adj Close,6861.T,57489.25
2021-02-02,Adj Close,6861.T,56273.28515625
2021-02-03,Adj Close,6861.T,56093.87890625
2021-02-04,Adj Close,6861.T,55645.3671875
2021-02-05,Adj Close,6861.T,55934.41015625
2021-02-08,Adj Close,6861.T,56562.32421875
2021-02-09,Adj Close,6861.T,57718.48828125
2021-02-10,Adj Close,6861.T,56901.203125
2021-02-12,Adj Close,6861.T,57499.21875
2021-02-15,Adj Close,6861.T,58884.62109375
2021-02-16,Adj Close,6861.T,58665.34765625
2021-02-17,Adj Close,6861.T,58027.46484375
2021-02-18,Adj Close,6861.T,57947.73046875
2021-02-19,Adj Close,6861.T,57140.41015625
2021-02-22,Adj Close,6861.T,56562.32421875
2021-02-24,Adj Close,6861.T,52964.26171875
2021-02-25,Adj Close,6861.T,53412.7734375
2021-02-26,Adj Close,6861.T,50392.79296875
2021-03-01,Adj Close,6861.T,50462.56640625
2021-03-02,Adj Close,6861.T,50861.2421875
2021-03-03,Adj Close,6861.T,50303.09375
2021-03-04,Adj Close,6861.T,49475.83984375
2021-03-05,Adj Close,6861.T,51279.8515625
2021-03-08,Adj Close,6861.T,50143.62109375
2021-03-09,Adj Close,6861.T,48628.6484375
2021-03-10,Adj Close,6861.T,48967.5234375
2021-03-11,Adj Close,6861.T,47631.95703125
2021-03-12,Adj Close,6861.T,49226.6640625
2021-03-15,Adj Close,6861.T,49326.33203125
2021-03-16,Adj Close,6861.T,49595.44140625
2021-03-17,Adj Close,6861.T,50203.42578125
2021-03-18,Adj Close,6861.T,51391.84765625
2021-03-19,Adj Close,6861.T,52829.94140625
2021-03-22,Adj Close,6861.T,50053.625
2021-03-23,Adj Close,6861.T,50173.46484375
2021-03-24,Adj Close,6861.T,49724.05859375
2021-03-25,Adj Close,6861.T,51401.8359375
2021-03-26,Adj Close,6861.T,51052.30078125
2021-03-29,Adj Close,6861.T,51881.19921875
2021-03-30,Adj Close,6861.T,51831.265625
2021-03-31,Adj Close,6861.T,50203.42578125
2021-04-01,Adj Close,6861.T,51841.25390625
2021-04-02,Adj Close,6861.T,53329.28125
2021-04-05,Adj Close,6861.T,52320.6171875
2021-04-06,Adj Close,6861.T,51232.0625
2021-04-07,Adj Close,6861.T,50433.12109375
2021-04-08,Adj Close,6861.T,51082.2578125
2021-04-09,Adj Close,6861.T,51741.38671875
2021-04-12,Adj Close,6861.T,50882.5234375
2021-04-13,Adj Close,6861.T,51052.30078125
2021-04-14,Adj Close,6861.T,51671.4765625
2021-04-15,Adj Close,6861.T,51252.03515625
2021-04-16,Adj Close,6861.T,51731.3984375
2021-04-19,Adj Close,6861.T,51571.609375
